,Unnamed: 0,text,embeddings,distances
130,130,"August 19 – The coalition government of Montenegrin prime minister Dritan Abazović collapses after the 81-seat Parliament of Montenegro passes a motion of no confidence in a vote of 50–1, following dispute within the coalition over an agreement the government signed with the Serbian Orthodox Church.","[-0.00747492  0.00509892 -0.02432295 ... -0.01595785 -0.00373419
 -0.00821456]",0.23530400132085794
154,154,"September 30 – Burkina Faso's military junta is overthrown by the country's second coup of the year, led by army captain Ibrahim Traoré.","[-0.0302975  -0.01734271  0.00337909 ... -0.0018838   0.01363388
  0.00730666]",0.23568849610983456
50,50,"March 10 – The National Assembly of Hungary elects former minister for Family Affairs, Katalin Novák, as president of Hungary in a 137–51 vote.","[-0.01300063 -0.01209781 -0.00017643 ... -0.00056104  0.00437224
 -0.02881291]",0.23592292718995211
147,147,"September 24 – The 2022 Nauruan parliamentary election is held, which is followed by Ubenide parliament member Russ Kun being elected president by parliament.","[-0.01368719 -0.02200529  0.0005298  ... -0.01089024 -0.00504178
 -0.01236475]",0.23610661524800614
97,97,"June 14 – Canada and Denmark end their competing claims for Hans Island by dividing the island roughly in half, ending what was referred to as the Whisky War.","[-0.01032998 -0.01581798 -0.00523351 ...  0.0223827   0.01836295
 -0.00989929]",0.23796547794568024
122,122,"August 4 – China conducts its largest ever military exercise around Taiwan in response to a controversial visit by Nancy Pelosi, the highest-ranking U.S. official to visit Taiwan since the 1990s.","[-0.018541   -0.02351129  0.00341219 ... -0.01258836  0.00657392
 -0.01437741]",0.2405110577807682
107,107,"July 6 – July 31 – UEFA Women's Euro 2022, originally intended for 2021 but indirectly delayed due to UEFA Euro 2020 being delayed, is held in England, with the hosts winning their first major tournament since 1966.","[-0.00133594 -0.03912262 -0.00610582 ... -0.0087415   0.01875518
 -0.01313744]",0.24158362309547476
42,42,"March 3 – The National Assembly of Armenia elects incumbent minister of High-Tech Industry and former mayor of Yerevan, Vahagn Khachaturyan, as president of Armenia following the resignation of Armen Sarkissian.","[-0.00537075 -0.0060102  -0.01576022 ... -0.00789949  0.01168452
  0.00220901]",0.2418893070244964
94,94,June 4 – Retired general Bajram Begaj is elected President of Albania by the parliament in the fourth round of voting.,"[-0.01002572 -0.00137172 -0.01373992 ... -0.02696037  0.01648011
  0.00336031]",0.24331466251833123
100,100,"June 22 – A 6.2 earthquake strikes the Durand Line between Afghanistan and Pakistan, killing at least 1,163 people.","[-0.00160271 -0.00260777  0.00214729 ...  0.00607445 -0.0002133
 -0.01992158]",0.2433222577515881
79,79,"April 28 – The Parliament of Montenegro elects a new government with Dritan Abazović as prime minister, following a motion of no confidence against the government of Zdravko Krivokapić.","[ 0.00271653 -0.00054101 -0.03269966 ... -0.01167664 -0.01209457
  0.00099812]",0.2443158569633962
171,171,"November 2–November 3 – Tigray War: The Ethiopian government and the TPLF agree to a formal cessation of hostilities, signing a peace agreement in Pretoria, South Africa.","[-0.0173642  -0.03537488  0.00436368 ... -0.00241942  0.01317507
 -0.00319518]",0.24443854584307467
93,93,"May 28 – Spanish club Real Madrid beat English club Liverpool 1–0 to win the UEFA Champions League final played at the Stade de France in Paris, France.","[-6.90568751e-03 -9.48111806e-03 -4.48767132e-05 ... -1.49602192e-02
 -2.22983002e-03  3.16208228e-04]",0.24524160136001716
20,20,February 3 – Islamic State leader Abu Ibrahim al-Hashimi al-Qurashi is killed in Atme during a counter-terrorism raid by U.S. special forces in north-western Syria.,"[-0.0384721   0.00744221 -0.00948735 ... -0.00045248  0.01880481
 -0.00050107]",0.24665716337806087
96,96,"June 8 – 2022 South Khorasan train derailment: In Iran, a passenger train derailed travelling from Tabas to Yazd crashed into an excavator and derailed, killing 18 and injuring 87.","[-0.0196323  -0.02270357  0.02034716 ... -0.0006524  -0.00236799
  0.01230494]",0.2480169870984279
193,193,"December 24 – 2022 Fijian general election: The Parliament of Fiji elects Sitiveni Rabuka as Prime Minister of Fiji, defeating incumbent Prime Minister Frank Bainimarama after a contentious election.","[-0.01172434 -0.00938462 -0.02316586 ... -0.00425522  0.00119316
  0.00262576]",0.24806684899570264
27,27,January 23 – February 22 - Twosday,"[ 0.00231719  0.01542372  0.01227696 ...  0.00340733  0.00421217
 -0.0224297 ]",0.24856493192781903
129,129,August 17 – Turkey and Israel agree to restore full diplomatic relations after a period of tensions.,"[-0.01072169 -0.01428693 -0.00372759 ...  0.01589746  0.00663044
 -0.02126155]",0.24924275772174187
127,127,"August 10 – Spanish club Real Madrid beat German club Eintracht Frankfurt 2–0 to win the 2022 UEFA Super Cup played at the Olympic Stadium in Helsinki, Finland.","[-0.00757757 -0.01231838  0.00304422 ... -0.01763812  0.00235271
 -0.01000265]",0.2496848744992135
158,158,"October 12–October 13 – 2022 Bratislava shooting, killing 3 (including the perpetrator) and injuring one. The shooting occurred outside of a gay bar in Bratislava known as Tepláreň. Two people (excluding the perpetrator) died as a result of the shooting. Juraj Vankulič, a non-binary person, and Matúš Horváth, a bisexual man. The perpetrator (Juraj Krajčík) was found dead due to a self-inflicted gunshot the morning after the attack.","[-0.01601332  0.00460666 -0.00305    ... -0.01111999 -0.01563999
 -0.01430666]",0.24968540515114723
23,23,"February 5 – Cyclone Batsirai kills a total of 123 people across Madagascar, Mauritius, and Réunion two weeks after Tropical Storm Ana killed 115 people in the same region.","[-0.02132948 -0.00404423  0.00193548 ...  0.00384807 -0.01150824
 -0.01530073]",0.250155613816749
139,139,"September 11 – The 2022 Swedish general election is held to elect all 349 seats of the Riksdag. Prime Minister Magdalena Andersson resigns after her centre-left bloc narrowly loses to a bloc of right-wing parties, 176 seats to 173; Andersson is succeeded as prime minister by Ulf Kristersson in October.","[-0.01139421 -0.03258863 -0.00771422 ... -0.01511357 -0.00208599
 -0.00641211]",0.25022367719875127
91,91,May 24 – Uvalde school shooting: 18-year-old Salvador Ramos fatally shoots 19 students and two teachers at Robb Elementary School.,"[-0.02397775 -0.00218768 -0.00514314 ... -0.00391919 -0.00053969
  0.01051757]",0.2503659352025486
115,115,"July 21 – The Parliament of Sri Lanka elects Prime Minister Ranil Wickremesinghe as President of Sri Lanka, following the resignation of Gotabaya Rajapaksa amid protests over the ongoing economic crisis.","[ 0.00940611 -0.00220318 -0.02257467 ... -0.00513549  0.01191231
 -0.00262771]",0.25051147833402876
95,95,"June 5 – At least 50 people are killed in a dual mass shooting-bomb attack in Owo, Nigeria.","[-0.01836874 -0.00365193 -0.01245121 ... -0.00163823  0.01889503
 -0.0042424 ]",0.25056971913153636
99,99,"June 19 – The second round of the 2022 Colombian presidential election is held, and former guerrilla fighter for the 19th of April Movement and incumbent senator, Gustavo Petro, defeats businessman and former mayor of Bucaramanga, Rodolfo Hernández Suárez.","[-0.03162943 -0.01067129  0.01653055 ... -0.00406636  0.00352948
  0.01357441]",0.25111637887599825
110,110,"July 8 – Former Prime Minister of Japan Shinzo Abe is assassinated while giving a public speech in the city of Nara, Japan.","[-0.0114628  -0.00536644 -0.01271317 ... -0.00146379 -0.00269274
 -0.01499176]",0.25242126570779677
104,104,"June 27 – 53 migrants from Mexico, Honduras, Guatemala, and El Salvador are found dead in a tractor trailer in San Antonio, Texas, United States.","[ 0.00023397 -0.01005208  0.00897801 ... -0.00286683  0.00608748
 -0.00036151]",0.2526340856963629
24,24,"February 6 – Queen Elizabeth II celebrates her ""Platinum Jubilee"", marking 70 years as Queen of the United Kingdom.","[-0.0158828  -0.01429823 -0.01587042 ...  0.01712074  0.00893175
 -0.0060133 ]",0.25322965719484214
143,143,"September 16 – Protests erupt in Iran following the death of Mahsa Amini in the custody of the country's ""morality police"".","[-0.02155522 -0.00529136 -0.00618787 ... -0.00359903 -0.00095985
 -0.0115312 ]",0.2534711052729476
13,13,"January 15 – A large eruption of Hunga Tonga–Hunga Ha'apai, a submarine volcano in Tonga, triggers tsunami warnings in Australia, Canada, Chile, Fiji, Japan, New Zealand, Samoa, and the United States.","[-0.00617535 -0.01719638  0.00971691 ...  0.01388496  0.02138999
  0.00538905]",0.25393750587907993
48,48,March 9 – 2022 South Korean presidential election: People Power Party candidate Yoon Suk-yeol is narrowly elected President of South Korea.,"[-0.0111029  -0.03455072  0.02214307 ...  0.0088635   0.00018789
  0.00257499]",0.25443262434902725
183,183,"November 21 – A 5.6 earthquake strikes near Cianjur in West Java, Indonesia, killing 635 people and injuring 7,700 more.","[ 0.00405766 -0.00409655  0.02365887 ... -0.00301408  0.00038182
 -0.01350824]",0.2545462864132588
128,128,"August 12 – Indian-born British-American novelist Salman Rushdie is stabbed multiple times as he is about to give a public lecture at the Chautauqua Institution in Chautauqua, New York, United States.","[-0.01807325  0.00181091 -0.00648081 ... -0.0282965   0.01519144
 -0.00330234]",0.25461450637092387
109,109,"July 7 – After revelations over his appointment of Chris Pincher as Deputy Chief Whip triggered a series of resignations from his government, UK Prime Minister Boris Johnson announces his intention to resign, triggering the July–September 2022 Conservative Party leadership election.","[-0.00685682 -0.01108614 -0.02659154 ...  0.00702143  0.01094685
 -0.0084713 ]",0.254629034821403
52,52,"March 12 – 2022 Turkmenistan presidential election: Serdar Berdimuhamedow, son of former President Gurbanguly Berdimuhamedow, wins with 89% of the total votes.","[-0.00120585 -0.01382135 -0.02792399 ...  0.00529968  0.02431842
 -0.00055738]",0.2546463269280368
151,151,"September 27–September 30 – Hurricane Ian impacts Cuba and the United States, causing catastrophic damage to both nations, killing at least 157 people, 16 missing, and leaving millions without power, including the entire nation of Cuba.","[-0.02692617 -0.01814193  0.00712905 ... -0.01459696  0.00080153
 -0.01841563]",0.25469049304451774
119,119,July 27 – A 7.0 earthquake strikes the island of Luzon in the Philippines killing 11 people and injuring over 600.,"[ 0.00210494  0.00394656  0.00795735 ...  0.00773257  0.00160159
 -0.03108442]",0.2554344250043985
19,19,January 28 – COVID-19 pandemic: The number of vaccinations administered worldwide exceeds 10 billion.,"[-0.00799522 -0.00762554 -0.00273191 ... -0.0073749   0.00649768
 -0.0171183 ]",0.2555990201834101
136,136,"September 5 – A 6.8 earthquake strikes Luding County in Sichuan province, China, killing 117 and injuring 424.","[ 0.01270445  0.01633146  0.01465339 ...  0.00273512 -0.00358407
 -0.03004671]",0.25595516962296094
181,181,November 20–December 18 – The 2022 FIFA World Cup is held in Qatar and won by Argentina.,"[ 0.00320342 -0.01554958  0.01295171 ... -0.00695276 -0.0012205
 -0.01610179]",0.25611498433667845
131,131,"August 27 – September 11 – The 2022 Asia Cup is held in the United Arab Emirates, and is won by Sri Lanka.","[-0.00751336 -0.01412304  0.02223024 ... -0.01571092  0.01234153
  0.01046319]",0.2563494618256297
58,58,March 29 – The Democratic Republic of the Congo is admitted to the East African Community.,"[ 0.0040206   0.00443119  0.0060767  ...  0.00914032 -0.00931719
 -0.00170868]",0.25657777454577513
51,51,March 11 – Gabriel Boric is sworn in as President of Chile. He becomes the youngest head of state in the nation's history and the first to be born during the military dictatorship of Augusto Pinochet.,"[-0.01254707 -0.00962399 -0.00767309 ... -0.01085717 -0.01252098
  0.00233423]",0.256908552619905
155,155,"October 1 – A fatal human crush occurs during an association football match at Kanjuruhan Stadium in Malang Regency, East Java, Indonesia, killing 135 people and injuring more than 500.","[-0.00251673  0.0024058   0.01732571 ... -0.01111336  0.00499372
  0.00018803]",0.256951447985329
81,81,May 9 – Prime Minister of Sri Lanka Mahinda Rajapaksa resigns as a result of massive protests against his government across the country. He is succeeded by Ranil Wickremesinghe as prime minister three days later.,"[-0.00145477  0.00081638 -0.0145936  ... -0.01821353 -0.00416418
  0.00429708]",0.25769373824515907
188,188,"December 7 – After substantial protests against China's Zero-COVID policies, the Chinese government eases on its COVID restrictions.","[ 0.01540542 -0.01896252 -0.01203139 ...  0.0105667   0.01224064
 -0.02900612]",0.25777956124901036
54,54,"March 19 – The apostolic constitution Praedicate evangelium, reforming the Roman Curia, is promulgated by Pope Francis, coming into force on 5 June.","[ 0.00106367 -0.01347539 -0.00920741 ...  0.0127973   0.00658147
 -0.02463729]",0.2581680476581313
165,165,"October 29 – A double car bombing by al-Shabaab in Mogadishu, Somalia kills at least 121 people and injures around 300.","[-0.01766198 -0.00503753  0.00922419 ... -0.01018464  0.00224642
  0.00377412]",0.2587376691702652
